,Unnamed: 0,image_id
4724,5833,ISIC_0027581
6906,8016,ISIC_0032966
4470,5579,ISIC_0027845
858,858,ISIC_0026311
1556,2665,ISIC_0032991
408,408,ISIC_0026443
2589,3698,ISIC_0027935
8719,9831,ISIC_0025637
5274,6383,ISIC_0030453
8619,9731,ISIC_0027700
3900,5009,ISIC_0031336
6609,7719,ISIC_0032858
8,8,ISIC_0025837
682,682,ISIC_0031287
7944,9056,ISIC_0025505
2015,3124,ISIC_0030682
1734,2843,ISIC_0031056
740,740,ISIC_0026015
8283,9395,ISIC_0034265
5653,6762,ISIC_0026569
4832,5941,ISIC_0031393
4658,5767,ISIC_0032319
6190,7300,ISIC_0034146
3882,4991,ISIC_0027824
2776,3885,ISIC_0030407
7111,8221,ISIC_0031079
5358,6467,ISIC_0029750
4040,5149,ISIC_0025203
148,148,ISIC_0033592
1891,3000,ISIC_0032226
6837,7947,ISIC_0033455
7004,8114,ISIC_0025620
582,582,ISIC_0024997
8407,9519,ISIC_0033842
4751,5860,ISIC_0028837
1584,2693,ISIC_0031698
3673,4782,ISIC_0028483
8314,9426,ISIC_0033540
7969,9081,ISIC_0027183
3578,4687,ISIC_0028954
3793,4902,ISIC_0028278
1246,2355,ISIC_0033450
3208,4317,ISIC_0031964
7194,8304,ISIC_0024777
4412,5521,ISIC_0029787
7796,8908,ISIC_0026330
4399,5508,ISIC_0027823
2046,3155,ISIC_0027752
6341,7451,ISIC_0032731
6442,7552,ISIC_0028684
4912,6021,ISIC_0029295
6532,7642,ISIC_0033649
6651,7761,ISIC_0032714
6544,7654,ISIC_0032820
2530,3639,ISIC_0031661
2141,3250,ISIC_0028282
4321,5430,ISIC_0029535
3284,4393,ISIC_0028345
3862,4971,ISIC_0025721
6378,7488,ISIC_0032676
99,99,ISIC_0026153
1594,2703,ISIC_0029278
7161,8271,ISIC_0028101
6626,7736,ISIC_0033439
7843,8955,ISIC_0032034
8367,9479,ISIC_0033355
3895,5004,ISIC_0026667
4337,5446,ISIC_0026450
3100,4209,ISIC_0030373
3454,4563,ISIC_0030612
1764,2873,ISIC_0028652
3891,5000,ISIC_0032473
1304,2413,ISIC_0024475
4051,5160,ISIC_0028093
1074,1074,ISIC_0029048
8625,9737,ISIC_0029067
7369,8479,ISIC_0025340
6884,7994,ISIC_0033955
1688,2797,ISIC_0032225
